Word,Frequency,Contained
lattices,1,1
like,11,10
integrals,17,14
nodes,1,1
lattice,2,1
optimum,13,10
compact,3,3
sets,12,12
confluent,4,2
hypergeometric,5,3
branches,3,3
physics,1,1
sedimentation,1,1
isotope,1,1
protein,1,1
determinations,1,1
ultracentrifuge,1,1
electrons,3,3
discharges,1,1
frequently,6,6
breakdown,7,5
figure,1,1
l,4,3
relaxation,5,4
outlined,9,8
polar,10,8
vorticity,5,2
favourably,3,2
trend,8,7
stokess,1,1
towards,9,9
forward,5,2
circulating,1,1
explained,17,14
formation,6,6
submerged,1,1
integrating,3,3
i,1,1
moreover,1,1
goes,1,1
smoothly,3,3
kirchhoff,3,3
ii,4,4
pattern,6,5
dash,12,10
orifice,11,4
size,12,10
working,23,18
dealing,10,10
orlfice,1,1
ten,7,6
undisturbed,4,3
hemispheroidal,1,1
heads,1,1
unity,5,2
illustrating,8,8
bearing,7,6
iv,1,1
chiefly,2,2
arithmetical,1,1
shows,40,40
mesh,2,2
fixed,30,25
fourth,20,18
old,1,1
advantage,2,2
convergent,9,6
usual,13,13
comments,5,5
prohibitive,2,2
labor,4,4
related,46,42
southwell,1,1
corrections,18,16
improve,9,9
routinized,1,1
conformity,1,1
automatic,14,10
essential,1,1
skill,1,1
practitioners,1,1
elliptic,25,16
includes,13,13
sort,3,3
occurring,13,13
rewriting,1,1
superscript,1,1
cycle,9,8
relax,1,1
ser,1,1
who,5,5
immediate,4,4
introduction,13,13
newly,1,1
us,4,4
la,1,1
gauss,5,3
seidel,4,2
theorems,2,2
ordering,1,1
wb,1,1
converges,3,3
successive,15,15
dirichlets,1,1
machine,9,6
driven,8,6
discusses,17,16
achieving,7,6
keeping,2,1
fuselage,20,14
losses,10,6
incurred,1,1
stalling,5,4
extensible,1,1
handling,6,5
qualities,4,4
cruising,5,4
nearly,35,31
inserting,1,1
rods,2,1
spacing,3,3
impose,2,2
graded,3,2
distances,11,7
appreciable,24,22
calculating,25,20
arrangement,3,2
weakly,1,1
sheared,2,2
accompanying,4,4
danger,1,1
inherent,5,5
attempt,29,28
grade,1,1
nor,6,6
tendency,4,4
decay,14,10
pt,3,3
graphical,8,8
twin,3,2
engined,2,2
profound,1,1
detail,16,15
stol,3,3
ground,59,23
elevations,1,1
pivot,3,2
diameters,8,4
propellers,1,1
trailing,6,5
loadings,5,5
foot,30,23
recorded,1,1
tabular,5,5
nacelle,13,4
spans,3,3
full,44,31
reciprocally,1,1
monoplane,2,2
validity,27,25
nacelles,1,1
cowling,7,2
researches,4,4
tractor,1,1
respect,17,16
thick,3,2
propulsive,15,6
concur,1,1
indicating,7,6
outboard,8,7
axes,5,4
limits,16,15
buried,4,1
fan,5,4
surrounding,12,11
encounter,1,1
interaction,8,4
obvious,5,5
minimizing,6,6
reduce,16,13
jets,7,2
fans,2,2
consider,18,16
airplane,26,13
proximity,10,8
effectiveness,4,3
redirecting,2,1
downward,4,3
slipstreams,3,3
facility,6,6
aeronautical,12,11
laboratory,4,4
approached,10,10
positions,19,13
nearest,2,2
loss,8,5
regained,2,2
lowering,2,2
reduces,12,12
diving,4,3
deflecting,4,4
rotating,25,14
vector,16,11
facilities,2,2
mph,1,1
upward,3,1
auxiliary,4,2
vane,7,3
added,8,8
rotated,1,1
attitude,6,5
weights,3,3
plain,1,1
vanes,6,5
heats,7,4
ranging,22,21
nylon,2,2
lucite,1,1
polystyrene,1,1
inorganic,2,2
salts,2,2
ammonium,2,2
chloride,2,2
sodium,6,4
carbonate,1,1
phenolic,2,2
resins,1,1
resin,3,3
content,3,3
reinforcement,1,1
melamine,1,1
fiber,4,4
glass,12,5
laminate,1,1
cooling,6,3
unmanned,1,1
reentry,16,9
satellite,40,27
vehicles,3,3
missiles,5,5
graphite,1,1
commercial,4,3
haveg,1,1
rocketon,1,1
absorption,8,6
capabilities,4,4
metallic,1,1
sink,2,2
noses,1,1
covered,8,8
definite,7,7
lowest,13,9
ablating,6,4
potentials,3,3
ethylene,1,1
lb,10,6
smooth,4,4
unablated,1,1
portions,11,9
specimens,2,2
appearance,15,14
back,18,16
inside,8,7
arc,4,4
shielding,2,1
compressible,26,16
situations,3,3
wherein,8,7
mix,3,3
majority,2,2
performances,1,1
devices,2,2
program,8,7
gradients,6,5
polytechnic,1,1
institute,8,8
brooklyn,1,1
dissociating,14,9
lucid,1,1
dissociation,6,3
bluff,13,10
km,1,1
sec,1,1
departures,3,3
promised,1,1
statistical,3,2
thermodynamics,11,8
diatomic,8,6
characteristic,36,29
vibrational,13,8
excited,12,11
rather,36,34
deduced,5,5
strong,8,8
elegant,1,1
curvatures,2,2
bow,29,23
shocks,7,5
typified,1,1
modification,14,13
dismissed,1,1
lacking,1,1
favor,4,4
corresponds,13,10
streamline,8,7
rotational,9,9
accord,4,4
freemans,1,1
plus,6,6
centrifugal,13,10
j,1,1
enables,11,9
relationships,12,11
transpiration,2,2
radiation,3,3
btulb,1,1
nonablating,1,1
inconel,1,1
pieces,1,1
sensor,2,1
capacitance,2,2
polymers,1,1
telemeter,1,1
measurement,22,19
telemetered,1,1
photographic,4,4
records,3,3
solid,23,19
fuel,10,7
sounding,2,1
boost,1,1
payload,3,2
nautical,2,1
miles,2,2
averaged,2,2
internally,2,2
consistent,21,19
atmospheric,33,25
compiled,3,3
united,2,2
groups,6,4
rockets,3,2
relevant,9,8
engaged,2,2
meteors,1,1
anomalous,2,2
brief,30,30
segments,5,5
slight,18,15
amounts,13,12
leaves,1,1
open,16,14
movement,14,10
windward,10,8
station,9,9
creased,1,1
leeward,4,4
concave,9,6
unsteady,28,14
inverse,10,10
blunter,2,2
accessible,1,1
adiabatic,5,4
index,3,2
observation,1,1
facing,14,8
tip,19,13
blunting,1,1
producing,14,14
induce,3,3
unblunted,1,1
projectiles,2,2
hypothesized,2,2
findings,5,5
substantiated,2,2
peak,33,18
decrement,3,2
outward,1,1
asymptote,1,1
agreed,16,13
edged,7,5
dropped,1,1
linearized,17,16
written,3,3
once,13,12
thereby,9,9
isolated,10,9
busemann,7,6
insofar,3,3
again,9,9
discovery,2,2
moore,2,2
corners,2,2
represents,18,17
improvement,17,13
inclined,17,11
treating,10,10
suction,9,8
injection,2,1
porous,51,29
conclusions,4,4
hartree,4,4
womersley,2,2
choleski,1,1
programming,1,1
upstream,48,38
neighbourhood,2,2
goldsteins,1,1
coincides,3,3
we,34,22
perturbation,4,4
yaw,1,1
ballistics,3,3
providing,8,8
yet,1,1
completed,5,5
lack,9,9
irrotational,5,5
discussions,4,4
sonic,23,14
oscillating,47,32
d,3,3
stall,42,14
slender,26,14
deforming,1,1
deformed,4,4
centers,4,4
crossflow,11,8
calculate,24,22
electronic,10,9
recording,2,2
logarithmic,5,4
audio,1,1
subaudio,1,1
harmonic,7,7
idea,11,11
representing,1,1
damped,5,5
screen,6,2
cathode,1,1
ray,3,3
measure,13,13
simultaneously,3,3
decimal,1,1
digits,1,1
inversely,6,6
named,1,1
dampometer,1,1
aeroplane,4,4
windtunnels,1,1
saving,2,2
fluctuating,11,9
centaur,1,1
able,10,9
fluctuations,2,2
occurred,28,22
converging,7,6
drawn,16,15
regarding,15,15
spectral,4,3
airfoil,34,17
emphasis,13,13
midchord,1,1
stiffening,4,4
confined,5,4
donnells,1,1
taylor,12,9
whisker,1,1
reinforced,5,5
makes,12,12
availability,1,1
analyzing,8,8
composed,12,12
treats,5,5
flugge,2,2
rigidities,2,2
rigidity,7,4
poissons,1,1
allow,10,10
quick,3,2
concept,1,1
lend,2,2
themselves,1,1
tailoring,1,1
reveals,4,4
plasticity,10,9
hand,4,3
incremental,21,12
fruitful,2,2
exploit,1,1
objections,2,2
suggest,15,13
predictive,1,1
unequal,2,2
radii,5,5
spheres,2,2
fluids,15,12
pipes,3,2
channels,4,1
imposed,16,13
conduct,1,1
currents,4,3
channel,1,1
degenerate,3,2
surrounded,1,1
novel,4,4
analogous,20,20
volumes,2,2
strengths,18,16
unified,11,10
bend,3,2
twisting,3,3
flanges,1,1
twist,11,6
secant,2,1
torsional,16,13
led,9,9
inelastic,1,1
reduction,37,26
octahedral,1,1
transform,3,3
lee,3,1
postbuckling,10,7
our,6,5
understanding,10,10
perplexing,1,1
element,2,1
drew,2,2
overestimates,1,1
lees,6,3
believe,1,1
group,7,6
he,18,13
contrary,2,2
probable,8,7
succeeded,1,1
simplifying,14,13
shearing,17,11
tedious,4,4
involved,5,5
easy,5,5
missile,1,1
exerts,1,1
powerful,2,2
vessels,5,4
apply,22,21
notation,4,4
classes,4,4
collapsing,1,1
comparing,12,12
against,21,17
basin,1,1
repair,1,1
navy,3,3
department,3,3
sequel,1,1
asme,2,2
committee,6,5
engineers,3,3
conceptual,2,2
analogy,2,2
foundation,1,1
provides,17,17
elaborate,3,3
layered,1,1
fifty,2,2
edgewise,2,2
unloaded,2,2
restrained,8,6
grooves,1,1
papreg,1,1
cellular,2,2
cellulose,1,1
acetate,1,1
width,24,14
ripple,2,2
bulging,1,1
symmetrically,5,4
sine,4,3
skew,2,2
sense,1,1
phase,17,16
theoretic,1,1
wrinkling,4,3
waviness,1,1
wrinkle,1,1
maintaining,2,2
smoothness,1,1
williams,1,1
irregularity,1,1
ensure,3,3
admissible,2,2
wavelength,1,1
supports,6,4
graphs,10,8
acoustical,6,2
signal,3,1
detection,2,2
airflow,3,3
detected,5,5
periodic,9,7
masked,2,1
additive,2,1
backgrounds,1,1
autocorrelation,2,2
crosscorrelation,3,2
filtering,1,1
greatest,12,10
successful,5,5
turned,1,1
correlator,4,2
averaging,3,3
scanning,1,1
signals,2,2
db,1,1
handbook,1,1
vi,2,2
comprehensive,1,1
review,26,23
correlated,32,28
beginning,10,8
onset,13,12
conversion,5,5
amplification,3,3
nonaxisymmetric,4,3
dand,1,1
doubtful,1,1
inadequacy,3,3
machined,1,1
kendrick,2,1
nash,2,2
embryonic,1,1
lobes,1,1
threshold,1,1
weakening,2,2
southwells,1,1
whereby,8,8
summarized,12,12
caution,1,1
designers,4,3
designing,7,6
edition,1,1
code,10,2
unfired,2,2
proof,9,5
respects,1,1
hypothetical,4,4
head,10,4
torus,3,2
rigorously,2,2
revealed,4,4
actually,10,10
exceeded,1,1
psi,1,1
practically,9,8
undergone,1,1
safe,1,1
codes,1,1
rules,5,5
need,18,18
revision,2,2
implications,6,6
foregoing,4,4
interim,1,1
exercise,1,1
care,3,3
applying,25,25
hexagonal,2,2
prism,1,1
finding,18,11
bounds,5,3
illustration,2,2
knuckle,4,2
rigidly,1,1
bounding,3,3
unflanged,1,1
toriconical,2,1
storage,5,5
accordance,6,6
stimulated,2,2
table,15,12
surprisingly,3,3
np,1,1
safety,2,2
bound,8,5
toriconica,1,1
interpreting,3,3
complement,1,1
obtains,4,4
nonhomogeneous,1,1
complementary,6,3
langer,1,1
transamermathsoc,1,1
yielding,1,1
customary,4,4
see,2,2
preceding,6,6
wissler,1,1
dissertation,1,1
zurich,2,2
observes,1,1
jointly,1,1
reissner,2,2
joint,2,2
pipe,11,6
occuring,1,1
refined,7,6
beskin,1,1
entrance,9,4
rarefied,12,9
molecules,2,1
entering,31,23
directed,4,3
randomly,1,1
striking,3,3
reflected,29,15
diffusely,1,1
limitation,6,5
gage,3,3
placed,13,13
satelite,1,1
convecting,1,1
randon,1,1
lyon,1,1
exponentially,5,5
convect,1,1
flexural,11,7
hysteretic,1,1
standoff,3,2
usaf,3,3
sponsored,3,3
apropriate,1,1
van,14,11
dyke,5,5
hays,1,1
oseen,2,2
linearization,15,11
wise,4,4
defect,4,4
unsteadiness,4,2
quasi,4,4
divergence,16,12
tunnels,1,1
excess,7,6
compensating,2,2
simulation,11,9
condensed,1,1
version,1,1
ref,1,1
hypervelocity,11,8
milliseconds,5,4
operated,13,13
driver,7,5
chamber,4,4
vacuum,3,3
tank,2,2
feature,17,17
duration,5,5
psia,2,2
collection,3,2
multiple,11,11
tuft,2,2
erosion,10,4
gravel,4,2
rolling,12,5
stronger,1,1
deeper,1,1
side,14,8
intensification,1,1
individual,9,8
meet,2,2
intensified,1,1
amplified,1,1
eroded,2,2
thrown,2,2
struck,1,1
obstacles,1,1
erratic,2,1
inflow,3,2
recirculating,1,1
primary,17,13
filled,5,4
soft,6,5
central,12,11
motor,4,4
band,16,10
among,7,7
areas,13,13
future,2,2
traveling,10,9
absence,10,9
solar,22,6
nocturnal,2,1
becomes,17,16
altitudes,24,17
daytime,1,1
increasingly,6,6
predominating,1,1
maintain,11,10
inclination,7,6
path,10,9
kept,5,5
accomplished,9,8
finely,1,1
tapered,15,11
insuring,1,1
boattailing,1,1
event,2,2
lost,1,1
naturally,2,2
emitted,6,4
natural,27,21
fly,1,1
desirable,5,4
emissivity,2,2
absorbed,6,6
radiant,2,2
accompanies,3,3
accommodation,7,4
altering,3,3
knudsen,9,4
capillary,2,1
often,20,16
clausing,2,1
clausings,1,1
reinvestigated,1,1
nonsteady,6,6
rest,7,7
numberical,1,1
temprature,1,1
lubrication,5,2
concerns,7,6
hydrodynamic,12,11
lubricant,4,1
proceeding,1,1
film,4,4
pointing,1,1
obtainment,1,1
journal,3,3
bearings,1,1
smith,1,1
singly,1,1
ionization,4,4
gauge,3,3
performing,7,7
early,14,14
morning,1,1
hours,2,2
days,2,2
june,3,3
revised,1,1
standard,20,17
progress,8,8
detached,25,17
travelling,4,4
needed,15,13
propulsion,4,1
detachment,24,16
paths,10,9
trace,4,4
termination,1,1
weak,27,21
probe,5,4
ahead,18,14
periodically,3,2
maths,1,1
mechs,1,1
vortex,91,33
obstacle,3,2
choked,7,5
choking,3,3
simulate,12,12
unbounded,2,2
resemblance,3,3
indeed,1,1
vicinity,29,23
partly,9,8
reflection,7,7
unusually,3,3
closed,28,26
perturbing,1,1
expressing,7,7
artificial,7,6
thickening,3,2
reaching,2,2
balance,3,3
disturbing,4,3
attenuation,7,5
hydrogen,1,1
history,8,7
stations,13,11
inches,5,5
millimeters,1,1
mercury,2,2
severe,17,15
existed,10,10
mechanic,1,1
satellites,3,2
ignited,1,1
fps,3,3
devreased,1,1
greatly,27,25
tailored,1,1
interface,2,2
gasdynamic,10,7
degrees,1,1
rankine,7,5
generate,3,3
hyperbolic,5,5
mathieu,4,2
displaced,4,4
minor,16,15
invariant,5,5
reaches,6,6
moves,10,8
away,10,10
reached,5,5
gaseous,8,7
detonation,8,2
treatises,1,1
listed,4,4
chapman,10,9
jouguet,2,1
detonations,2,2
ambiguity,2,2
standing,2,2
spectra,2,2
magnetohydrodynamic,27,21
brought,7,7
readers,1,1
observations,15,15
attempts,6,6
explain,10,10
dissociated,24,15
partially,14,12
fay,3,3
riddell,3,3
periments,1,1
blade,51,23
dual,5,4
interconnected,3,3
tilted,3,3
hinged,2,2
flapping,2,2
blades,1,1
cover,21,20
acceleration,8,8
climb,3,2
deceleration,5,5
descent,5,4
movable,4,4
tail,70,20
ailerons,1,1
removed,2,2
upwash,8,5
resulted,22,16
experienced,11,11
evidently,1,1
longer,9,8
halfway,1,1
downwash,43,20
helicopter,3,2
environment,10,7
rotor,17,10
merely,1,1
gross,10,8
flowing,6,6
rotors,6,3
produces,9,9
upflow,1,1
slower,1,1
start,6,4
terrain,3,3
equal,2,2
ducted,3,2
sand,4,3
loose,7,3
dirt,1,1
started,2,2
sq,1,1
experience,8,8
thoroughly,2,2
soaking,1,1
spray,1,1
water,8,5
operation,26,20
snow,1,1
obliterated,1,1
vision,1,1
pilot,3,2
visibility,2,1
poor,9,7
cleared,1,1
particles,22,10
recirculation,2,2
damage,5,2
dents,1,1
punctures,2,2
superficial,1,1
multipropeller,1,1
vtolstol,1,1
inadvertently,1,1
taxiing,1,1
maneuver,3,3
macadam,1,1
embedded,5,3
crushed,2,1
stone,3,2
observers,2,2
chase,1,1
commented,3,3
deposits,2,1
compressor,30,8
circulation,10,7
hangling,1,1
successfully,10,9
vice,2,2
versa,2,2
accentuated,1,1
rudimentary,1,1
modifications,14,13
encouraging,4,4
reductions,11,10
undesirable,1,1
lags,1,1
liquid,23,12
paraboloid,4,3
substituted,1,1
making,19,19
depend,30,29
tends,18,17
allowance,5,5
called,5,5
airframe,3,2
vz,1,1
operational,8,7
hover,2,1
cruise,1,1
sources,1,1
buffeting,3,3
descents,1,1
simulated,12,11
strengthening,1,1
geometric,12,12
stabilizing,9,8
specimen,4,3
unfilled,1,1
longitudinally,5,4
nonuniformity,2,2
propellant,8,7
z,5,4
root,22,20
expounded,1,1
books,1,1
bleich,1,1
salmon,1,1
contain,7,7
bibliographies,2,1
goodier,1,1
references,2,2
appended,2,2
hoffs,1,1
article,8,5
publications,2,2
usa,1,1
ready,1,1
literature,12,11
developing,9,8
fourier,7,7
suited,5,5
yuan,1,1
insertion,1,1
rectangle,2,2
tion,1,1
twenty,4,3
multiweb,4,3
largely,17,16
locally,9,7
nonuniform,17,12
thirteen,3,3
stainless,4,3
until,11,11
circumference,2,2
properly,8,7
accounting,1,1
asymmetric,7,4
freestream,16,10
dykes,1,1
garabedians,1,1
stand,9,8
wets,1,1
passes,5,5
possess,4,4
entropy,8,7
counter,3,3
convex,4,3
wetted,6,2
tomotika,1,1
tamada,2,2
quart,1,1
math,2,2
rev,2,2
mixed,8,6
throat,3,3
karmans,1,1
diverging,9,6
rejected,2,2
singularities,11,8
taylors,1,1
branch,4,4
asymptotes,1,1
meyers,1,1
asymmetrical,3,3
slot,5,3
injected,15,14
dorodnitzin,1,1
howarth,2,2
transformation,5,5
nonsimilar,4,3
homogeneous,3,3
heterogeneous,2,2
nonreactive,1,1
reactive,3,2
eg,1,1
protection,6,5
deflagration,1,1
connection,18,18
venting,1,1
boiloff,1,1
booster,2,2
nonaligned,1,1
superfast,1,1
regime,14,10
uniformity,2,2
coupled,20,14
unlike,3,3
gasdynamics,5,4
unexpected,1,1
arise,9,7
mises,6,5
inaccurate,2,2
joins,1,1
millikan,1,1
joined,5,5
simplify,6,6
heimenz,1,1
ellipse,5,3
schubauers,1,1
pohlhausen,9,8
trail,7,2
object,5,5
assume,9,9
followed,16,14
operative,1,1
mechanisms,7,6
dimensionality,2,2
wakelike,2,1
jetlike,2,1
stem,3,3
devoted,9,9
compressibility,1,1
admitted,1,1
flux,22,17
convective,15,9
contains,14,14
isovels,4,3
final,27,23
treat,5,5
binary,10,7
pairs,7,6
relates,7,7
undissociated,5,4
delta,7,5
aspect,111,58
vertex,6,3
overexpanded,6,4
regimes,15,12
discerned,1,1
patterns,1,1
rise,8,5
correlates,4,4
affecting,12,10
yawed,7,7
arrangements,7,5
bluntness,15,6
correlations,15,11
whenever,5,5
planforms,1,1
offers,6,6
benefit,2,2
nonequilibrium,21,10
nonreacting,1,1
describing,12,12
identifiable,1,1
gorcum,1,1
analogies,2,2
passive,2,2
pole,1,1
stratiform,2,2
generalizes,2,2
regards,4,4
gorcums,1,1
ideas,6,6
draws,1,1
consequences,4,4
bounded,6,5
particle,1,1
enskog,1,1
geometrics,1,1
adapted,6,6
differs,9,9
couette,6,4
hard,3,2
maxwellian,2,2
bakanov,1,1
deryagin,1,1
incorrect,4,4
cooled,8,7
uncooled,5,5
rarefaction,4,4
generator,9,5
find,18,14
fairly,20,19
cavitating,3,1
curvilinear,1,1
postulated,2,2
transformed,15,14
synthesized,1,1
superposition,6,6
cavity,7,3
locus,1,1
roots,7,2
constitute,2,2
obey,2,2
lundquist,1,1
unperturbed,2,1
hyperliptic,1,1
superimposed,2,2
grad,1,1
mccune,1,1
resler,3,3
sears,2,2
ends,12,7
kutta,5,4
joukowski,5,4
disappear,3,3
specifically,1,1
integrable,1,1
analytically,14,14
singular,6,6
impinging,7,5
interacted,1,1
supply,5,3
adjusted,3,3
shadowgraphs,3,3
interacting,5,4
establish,11,10
traversed,1,1
record,6,6
discovered,6,5
highly,37,27
underexpanded,1,1
changed,4,3
proportionally,2,2
diffuser,5,2
favorably,8,8
calibers,1,1
exponential,14,12
difficult,16,16
impossible,3,3
growths,2,2
eliminated,1,1
hromas,1,1
derives,2,2
circle,1,1
images,1,1
interval,4,4
conformal,8,7
mapping,7,6
subsequently,2,2
exception,8,7
unknown,8,8
match,5,4
rubesin,2,2
foreign,14,9
argon,2,1
iodine,1,1
transfers,2,2
gibbs,1,1
dalton,1,1
rule,4,3
dilute,1,1
nbs,1,1
tabulations,2,2
lennard,1,1
jones,4,3
mixtures,5,5
aerelastic,1,1
dominating,1,1
origin,7,7
matter,2,2
interrelation,2,2
tools,6,6
demands,3,3
art,2,2
inputs,3,2
acrothermoelasticity,1,1
attacking,1,1
alleviating,2,2
avenues,1,1
fundamental,5,5
prestons,1,1
measuring,7,6
furnaces,1,1
turbulence,13,3
roughness,10,2
sweat,4,2
coolant,16,11
transferred,8,8
newton,2,2
newtons,1,1
centripetal,1,1
nonnegative,1,1
accounted,5,5
enclosed,6,2
minimal,3,3
mayer,3,3
lagrange,5,5
transversality,1,1
erdmann,1,1
weierstrass,1,1
corner,8,6
switching,1,1
extremal,1,1
subarcs,1,1
regular,8,5
cruciform,25,8
intersecting,5,4
inlets,2,2
fins,5,3
identification,2,2
adjustment,2,1
slopes,6,5
planar,9,5
intersection,6,6
representations,2,2
ascending,6,5
fractional,4,4
pyramidal,1,1
weaker,1,1
coincident,2,2
monatomic,3,2
propagates,2,1
perturbations,9,6
reach,12,12
enters,5,5
perturbed,2,2
altered,5,5
nonisentropic,1,1
viz,1,1
permanent,3,2
true,10,10
reflections,3,3
nonconduction,1,1
hydromagnetic,4,4
inverted,4,3
hemispheres,1,1
discs,4,2
nonsphere,1,1
millisecond,2,2
intervals,6,6
referenced,3,3
drop,8,7
broken,2,2
interactions,7,7
paint,1,1
visible,2,2
orders,5,5
ferri,1,1
zakkay,1,1
hemi,1,1
reported,31,29
wires,3,2
attained,2,2
polished,4,2
reversal,11,8
conclude,2,2
vapor,4,3
dewpoint,1,1
avoidance,2,2
carbon,7,6
dioxide,1,1
condensation,2,2
utilzation,1,1
removing,2,2
dust,1,1
airstream,5,5
drawing,3,2
diagrams,5,5
cusped,3,3
diagram,6,6
conjectured,2,2
concentrated,17,14
cusps,1,1
relevance,1,1
say,1,1
mhd,1,1
omission,2,2
implicit,6,6
invalidate,1,1
acrodynamic,2,1
airfoils,4,3
shockless,1,1
sesired,1,1
standpoint,5,4
savings,3,3
consumption,1,1
expect,4,4
exerted,3,2
incident,7,5
acoustic,30,11
motionless,1,1
transforming,3,3
laplaces,1,1
impingement,3,2
arrive,4,4
coherent,1,1
entrainment,7,2
key,3,3
equals,3,3
subsidiary,1,1
assess,3,3
criteria,2,2
entrained,1,1
thirds,3,3
causing,8,7
scaling,6,5
devised,8,8
concepts,1,1
dissipative,7,4
conservation,11,10
approaching,8,7
recompression,6,3
unique,3,3
emphasized,1,1
isoenergetic,1,1
greens,1,1
satisfying,10,9
california,1,1
technology,4,4
trip,1,1
bring,6,6
tripping,2,2
remarks,7,7
grain,3,2
sizes,3,3
quadratic,1,1
holds,4,4
indirect,2,2
hydraulically,1,1
sublayer,11,8
shift,3,3
veocity,1,1
rough,4,4
aerothermodynamic,1,1
cal,1,1
reshotkos,1,1
chengs,1,1
elongated,1,1
predictable,1,1
creeping,2,1
extending,18,18
million,14,7
hydroballistic,1,1
glycerin,1,1
finned,3,2
ellipsoids,2,2
fold,2,2
trends,19,18
ellipsoid,1,1
occurrences,1,1
jump,10,7
oversimplified,1,1
unrealistic,1,1
puts,1,1
reasons,7,7
cold,21,14
crocco,12,7
steps,9,6
restricts,1,1
inequality,3,2
constraints,6,3
prevent,12,8
human,5,5
tolerances,2,2
trajectories,10,9
dominant,5,4
unconstrained,1,1
constrained,1,1
arcs,1,1
glide,9,6
semiballistic,1,1
winged,7,5
swept,2,2
pictures,3,3
light,23,21
balsa,1,1
isofoam,1,1
literally,2,2
consistently,6,6
deficiency,3,3
fall,8,8
doubling,3,3
max,1,1
demonstrates,2,2
programs,1,1
pass,3,3
escape,3,3
glider,6,4
modulation,4,2
kelleys,1,1
starting,11,10
programing,1,1
tolerance,4,4
pilots,1,1
withstand,2,2
complicated,12,12
felt,7,7
shaped,13,12
lockheed,1,1
abbreviated,1,1
works,2,2
inconsistent,1,1
deviate,3,3
vortices,11,7
wire,3,3
ribbon,1,1
travels,1,1
eventually,2,2
intensity,27,17
manifests,1,1
distortion,2,2
inevitably,1,1
consequence,4,4
whole,14,13
hall,1,1
ionized,11,8
dipole,1,1
fifth,4,4
orthogonally,1,1
maximuin,1,1
unfavorable,2,2
plk,1,1
portious,1,1
systematic,16,14
fashion,2,2
desired,8,8
qm,1,1
involves,20,20
stretching,3,2
spirit,1,1
poincare,1,1
lighthill,7,6
kuo,1,1
annul,1,1
coordinate,8,6
strip,5,5
shifted,2,2
assessed,7,7
termperature,1,1
overall,27,22
mixes,1,1
vaporizing,1,1
departure,4,4
blowing,5,5
block,3,2
preston,6,3
sub,7,6
reattachment,5,5
hypersoule,1,1
summation,1,1
blast,3,2
unswept,16,13
avove,1,1
seemed,2,2
cosine,1,1
geometrical,10,9
localized,1,1
coolants,2,2
nitrogen,4,3
plug,2,2
subtending,1,1
pibal,2,2
permitting,2,2
extrapolated,1,1
alteration,2,2
defining,9,8
prevailing,1,1
deviates,2,2
ferris,1,1
meridian,4,4
galcit,6,5
predicts,11,11
schlieren,26,24
photographs,6,6
curtain,2,1
underside,1,1
machines,3,3
bifurcated,1,1
none,4,4
penetrates,2,2
helmholtz,2,2
steamline,1,1
assigned,2,2
sturm,1,1
liouville,1,1
eigenvalue,4,4
telegraph,2,2
belotserkovskii,2,2
deal,6,6
cornered,3,2
headed,1,1
belotserkovskiis,1,1
bounary,1,1
orthogonal,3,3
falkner,3,3
skan,7,6
murphy,1,1
murphys,1,1
unaffected,3,3
conductivity,3,3
modify,2,2
title,1,1
nonmagnetic,3,2
ponderomotive,1,1
cambered,14,10
positioned,2,2
beneath,6,4
reverse,1,1
implement,1,1
cancelled,2,2
gained,3,3
orientation,6,6
extensively,6,6
gap,6,4
distortions,4,4
eighths,1,1
diminished,5,5
scars,1,1
haack,1,1
diamond,2,2
exterior,2,2
kinking,1,1
accommodate,1,1
appraised,1,1
ogive,3,2
boattails,1,1
scheme,8,7
domain,7,6
strips,6,2
integro,1,1
integrands,1,1
polynomials,2,2
runge,1,1
lewis,6,6
chemistry,2,2
instances,3,3
disturbances,4,4
introduce,5,5
momentary,2,2
said,3,3
prevail,1,1
instant,1,1
overshadow,1,1
circumstances,1,1
fales,1,1
reservation,1,1
slowly,11,11
boom,15,8
contribution,5,5
possibilities,11,10
suppress,2,2
indications,3,3
advanced,7,7
broad,6,6
spectrum,7,7
modifying,2,2
quadrupole,2,2
emitting,2,2
eddies,5,5
irregular,2,2
relate,4,4
acoustics,4,3
passage,10,7
rays,1,1
refraction,3,3
generation,11,10
visualized,1,1
schematic,1,1
transferring,1,1
crucial,2,2
radiating,3,3
quadrupoles,3,2
somewhere,2,2
serves,3,3
selective,1,1
amplifier,1,1
passing,7,7
kinematically,1,1
brings,2,2
preferred,3,2
emission,1,1
augmentation,4,3
output,5,5
unit,22,16
emissions,1,1
augmented,2,2
lighthills,1,1
propagating,4,3
silencing,1,1
notches,3,2
teeth,1,1
illustrates,7,7
requiring,10,10
relaxing,4,4
simulating,6,6
croccos,1,1
discussing,1,1
nonplanar,1,1
restrictions,5,5
approximating,8,7
kernels,1,1
termwise,1,1
integrations,12,11
routine,8,7
inversion,1,1
matrix,23,10
regard,7,6
substantiate,4,4
twisted,3,3
projectile,4,2
whitham,4,4
extreme,11,7
constraining,2,2
discontinuities,9,7
break,4,4
similitude,17,7
mahony,1,1
friedrichs,1,1
expanding,12,11
helps,1,1
plasma,12,8
charged,13,7
conductor,2,1
dense,2,2
wavy,3,3
analyze,3,3
coulomb,1,1
vanishes,3,3
identically,1,1
ackeret,3,3
freon,24,6
realized,3,2
marked,10,10
loitsianskii,1,1
